pdl	sd	via1	via2	ls
0.1	1	1.6	0	261.5
0.1	1	1.6	0	237
0.1	1	1.6	0	203.7
1	0.7	1.6	0	357.1
1	0.7	1.6	0	324.2
1	0.7	1.6	0	379.9
0.1	0.1	1.6	0	155.3
0.1	0.1	1.6	0	145.8
0.1	0.1	1.6	0	138.7
1	0.7	1.6	0	332.3
1	0.7	1.6	0	313.2
1	0.7	1.6	0	359.2
0.1	1	1.6	0	254.9
0.1	1	1.6	0	229.6
0.1	1	1.6	0	200
0.1	1	1.6	0	134.9
0.1	1	1.6	0	128.2
0.1	1	1.6	0	152.1
1	0.7	1.6	0	263
1	0.7	1.6	0	252.2
1	0.7	1.6	0	219.3
0.1	0.1	1.6	0	61.8
0.1	0.1	1.6	0	54.6
0.1	0.1	1.6	0	55.7
1	0.7	1.6	0	130.2
1	0.7	1.6	0	140.2
1	0.7	1.6	0	140.9
0.1	1	1.6	0	141.1
0.1	1	1.6	0	140.2
0.1	1	1.6	0	138.5
0.1	0.1	1.4	1.4	139.3
0.1	0.1	1.4	1.4	93.6
0.1	0.1	1.4	1.4	109.6
0.1	0.1	1.4	1.4	114.8
0.1	0.1	1.4	1.4	105.8
0.1	0.1	1.4	1.4	95.7
1	0.7	1.4	1.4	273
1	0.7	1.4	1.4	194
1	0.7	1.4	1.4	253.4
1	0.7	1.4	1.4	252
1	0.7	1.4	1.4	204.4
1	0.7	1.4	1.4	210.4
0.1	1	1.4	1.4	981.9
0.1	1	1.4	1.4	1137.6
0.1	1	1.4	1.4	1305
0.1	1	1.4	1.4	826.7
0.1	1	1.4	1.4	844.4
0.1	1	1.4	1.4	753.4
1	0.7	1.4	1.4	195.4
1	0.7	1.4	1.4	224.6
1	0.7	1.4	1.4	187.7
1	0.7	1.4	1.4	190.6
1	0.7	1.4	1.4	198.8
1	0.7	1.4	1.4	206.8
0.1	0.1	1.4	1.4	133.4
0.1	0.1	1.4	1.4	94.7
0.1	0.1	1.4	1.4	108.7
0.1	0.1	1.4	1.4	97
0.1	0.1	1.4	1.4	96.7
0.1	0.1	1.4	1.4	95
1	0.1	1.4	1.4	230
1	0.1	1.4	1.4	155.3
1	0.1	1.4	1.4	167.3
1	0.1	1.4	1.4	138.9
1	0.1	1.4	1.4	154.6
1	0.1	1.4	1.4	152.5
0.1	0.7	1.4	1.4	112.1
0.1	0.7	1.4	1.4	88.2
0.1	0.7	1.4	1.4	88.6
0.1	0.7	1.4	1.4	88
0.1	0.7	1.4	1.4	96.1
0.1	0.7	1.4	1.4	123.9
1	1	1.4	1.4	1125
1	1	1.4	1.4	1579.5
1	1	1.4	1.4	1435.5
1	1	1.4	1.4	1302
1	1	1.4	1.4	1254
1	1	1.4	1.4	1175
0.1	0.7	1.4	1.4	82.6
0.1	0.7	1.4	1.4	105.8
0.1	0.7	1.4	1.4	98.7
0.1	0.7	1.4	1.4	88.5
0.1	0.7	1.4	1.4	80.9
0.1	0.7	1.4	1.4	117
1	0.1	1.4	1.4	207.6
1	0.1	1.4	1.4	176.4
1	0.1	1.4	1.4	173.3
1	0.1	1.4	1.4	163
1	0.1	1.4	1.4	162.5
1	0.1	1.4	1.4	156.8
1	1	1.25	1.4	602.7
1	1	1.25	1.4	874.7
1	1	1.25	1.4	686.9
0.1	0.7	1.25	1.4	43.7
0.1	0.7	1.25	1.4	37.9
0.1	0.7	1.25	1.4	82.7
1	0.1	1.25	1.4	136.6
1	0.1	1.25	1.4	105.1
1	0.1	1.25	1.4	147.4
0.1	0.7	1.25	1.4	72.2
0.1	0.7	1.25	1.4	42.2
0.1	0.7	1.25	1.4	51.3
1	1	1.25	1.4	530.6
1	1	1.25	1.4	664.5
1	1	1.25	1.4	484.6
1	1	1.6	1.6	2084
1	1	1.6	1.6	1092
0.1	0.7	1.6	1.6	59.1
0.1	0.7	1.6	1.6	44.6
1	0.1	1.6	1.6	97.3
1	0.1	1.6	1.6	124.8
0.1	0.7	1.6	1.6	53.8
0.1	0.7	1.6	1.6	68.4
1	1	1.6	1.6	1951
1	1	1.6	1.6	1049
0.1	1	1.6	1.6	3325
0.1	1	1.6	1.6	1578
0.1	1	1.6	1.6	3437
0.1	1	1.6	1.6	1682
0.1	1	1.6	1.6	1375
0.1	1	1.6	1.6	1611
1	0.7	1.6	1.6	218.4
1	0.7	1.6	1.6	132.2
1	0.7	1.6	1.6	213.7
1	0.7	1.6	1.6	212.5
1	0.7	1.6	1.6	149.7
1	0.7	1.6	1.6	141.5
0.1	0.1	1.6	1.6	74.7
0.1	0.1	1.6	1.6	115.4
0.1	0.1	1.6	1.6	77.4
0.1	0.1	1.6	1.6	60.9
0.1	0.1	1.6	1.6	82.9
0.1	0.1	1.6	1.6	91.4
1	0.7	1.6	1.6	249.2
1	0.7	1.6	1.6	381
1	0.7	1.6	1.6	252.8
1	0.7	1.6	1.6	230.1
1	0.7	1.6	1.6	296
1	0.7	1.6	1.6	281.5
0.1	1	1.6	1.6	4098
0.1	1	1.6	1.6	1949
0.1	1	1.6	1.6	4093
0.1	1	1.6	1.6	1734
0.1	1	1.6	1.6	1404
0.1	1	1.6	1.6	1543
0.1	1	1.6	1.9	1064
0.1	1	1.6	1.9	1184
0.1	1	1.6	1.9	919.2
0.1	1	1.6	1.9	1711
0.1	1	1.6	1.9	1544
